Geography,Name,Median Household Income,Poverty Rate (%),Unemployment Rate (%),Bachelor's Degree or Higher (%)
8600000US01094,ZCTA5 01094,19028,0.0,4.1,21.1
8600000US01095,ZCTA5 01095,86908,4.8,3.9,43.5
8600000US01096,ZCTA5 01096,70438,6.7,3.9,39.9
8600000US01097,ZCTA5 01097,40556,5.6,0.0,0.0
8600000US01098,ZCTA5 01098,71500,4.8,3.1,39.0
8600000US01103,ZCTA5 01103,13666,54.5,9.6,21.8
8600000US01104,ZCTA5 01104,29184,28.8,9.4,13.1
8600000US01105,ZCTA5 01105,17657,54.2,10.6,9.0
8600000US01106,ZCTA5 01106,106296,5.4,3.2,64.1
8600000US01107,ZCTA5 01107,22287,47.6,12.3,9.4
8600000US01108,ZCTA5 01108,35238,28.8,10.3,21.1
8600000US01109,ZCTA5 01109,32644,34.1,8.9,14.5
8600000US01118,ZCTA5 01118,65231,10.6,5.7,30.1
8600000US01119,ZCTA5 01119,47417,16.9,7.2,19.7
8600000US01128,ZCTA5 01128,74963,1.0,6.3,27.3
8600000US01129,ZCTA5 01129,62280,14.8,7.9,25.2
8600000US01151,ZCTA5 01151,34280,33.9,8.7,14.5
8600000US01199,ZCTA5 01199,-,-,-,-
8600000US01201,ZCTA5 01201,44120,16.0,6.9,26.6
8600000US01220,ZCTA5 01220,41950,11.2,7.4,20.2
8600000US01222,ZCTA5 01222,78080,1.0,2.1,42.6
8600000US01223,ZCTA5 01223,65033,5.7,6.1,37.4
8600000US01224,ZCTA5 01224,37112,2.1,18.1,15.4
8600000US01225,ZCTA5 01225,58007,8.1,4.9,22.5
8600000US01226,ZCTA5 01226,48320,16.6,6.4,31.2
8600000US01229,ZCTA5 01229,34250,4.6,0.0,43.8
8600000US01230,ZCTA5 01230,53180,8.6,3.7,38.6
8600000US01235,ZCTA5 01235,64507,5.0,5.8,25.9
8600000US01236,ZCTA5 01236,62917,3.9,8.0,56.4
8600000US01237,ZCTA5 01237,76346,1.5,6.8,33.5
8600000US01238,ZCTA5 01238,61492,9.3,4.7,41.3
8600000US01240,ZCTA5 01240,51396,13.9,8.7,46.9
8600000US01242,ZCTA5 01242,55333,1.0,0.0,47.2
8600000US01243,ZCTA5 01243,73750,4.2,2.6,26.3
8600000US01244,ZCTA5 01244,27639,14.0,0.0,56.8
8600000US01245,ZCTA5 01245,53833,12.9,5.2,42.6
8600000US01247,ZCTA5 01247,39636,17.1,6.5,21.1
8600000US01253,ZCTA5 01253,66250,6.1,3.1,27.5
8600000US01254,ZCTA5 01254,83750,5.3,2.5,45.0
8600000US01255,ZCTA5 01255,56250,4.9,4.9,33.9
8600000US01256,ZCTA5 01256,57222,4.7,4.5,18.3
8600000US01257,ZCTA5 01257,46917,15.0,3.7,33.7
8600000US01258,ZCTA5 01258,64250,4.2,0.6,45.8
8600000US01259,ZCTA5 01259,61500,3.7,5.4,45.8
8600000US01260,ZCTA5 01260,47250,5.3,12.0,6.0
8600000US01262,ZCTA5 01262,47250,17.0,3.7,37.6
8600000US01264,ZCTA5 01264,90625,19.3,7.7,49.6
8600000US01266,ZCTA5 01266,78333,6.2,1.7,48.2
8600000US01267,ZCTA5 01267,74167,6.5,2.5,58.5
8600000US01270,ZCTA5 01270,69444,6.9,1.8,35.3
8600000US01301,ZCTA5 01301,48612,14.7,4.8,27.3
8600000US01330,ZCTA5 01330,77411,6.4,3.8,47.7
8600000US01331,ZCTA5 01331,51002,15.8,8.5,15.7
8600000US01337,ZCTA5 01337,62037,5.6,4.0,28.5
8600000US01338,ZCTA5 01338,71691,2.4,7.6,33.5
8600000US01339,ZCTA5 01339,51908,13.5,6.8,30.2
8600000US01340,ZCTA5 01340,46210,11.0,7.8,24.7
8600000US01341,ZCTA5 01341,79286,5.0,4.5,54.1
8600000US01342,ZCTA5 01342,101863,1.9,0.0,67.9
8600000US01343,ZCTA5 01343,81667,0.0,0.0,21.7
8600000US01344,ZCTA5 01344,59722,9.8,6.5,20.2
8600000US01346,ZCTA5 01346,58906,11.7,3.7,37.8
8600000US01347,ZCTA5 01347,38000,14.8,0.0,25.5
8600000US01349,ZCTA5 01349,54727,5.5,4.5,31.7
8600000US01350,ZCTA5 01350,32083,13.6,7.6,18.7
8600000US01351,ZCTA5 01351,71587,9.5,6.1,37.6
8600000US01354,ZCTA5 01354,75776,7.3,4.0,41.1
8600000US01355,ZCTA5 01355,75000,8.1,6.8,42.0
8600000US01360,ZCTA5 01360,60721,3.9,4.2,40.2
8600000US01364,ZCTA5 01364,41994,12.4,9.6,15.5
8600000US01366,ZCTA5 01366,72917,6.5,4.4,39.2
8600000US01367,ZCTA5 01367,49792,16.6,3.1,24.4
8600000US01368,ZCTA5 01368,60568,13.0,7.2,17.8
8600000US01370,ZCTA5 01370,53300,8.9,4.6,38.5
8600000US01373,ZCTA5 01373,67465,7.2,3.3,37.0
8600000US01375,ZCTA5 01375,50417,21.5,2.0,61.4
8600000US01376,ZCTA5 01376,41250,22.1,7.4,24.2
8600000US01378,ZCTA5 01378,55278,10.2,3.4,34.8
8600000US01379,ZCTA5 01379,38750,15.7,4.6,43.2
8600000US01420,ZCTA5 01420,46628,19.8,8.0,20.6
8600000US01430,ZCTA5 01430,85662,8.4,5.0,36.0
8600000US01431,ZCTA5 01431,83917,6.4,5.3,25.5
8600000US01432,ZCTA5 01432,66630,11.4,6.9,36.4
8600000US01434,ZCTA5 01434,97222,26.8,5.6,21.4
8600000US01436,ZCTA5 01436,70313,9.0,6.0,19.2
8600000US01438,ZCTA5 01438,61803,34.1,0.0,19.0
8600000US01440,ZCTA5 01440,46464,17.6,6.8,17.4
8600000US01450,ZCTA5 01450,116686,3.7,4.0,66.6
8600000US01451,ZCTA5 01451,135357,8.8,6.4,75.5
8600000US01452,ZCTA5 01452,83438,6.5,5.9,26.7
8600000US01453,ZCTA5 01453,59248,11.7,7.0,26.4
8600000US01460,ZCTA5 01460,111652,3.9,3.9,59.6
8600000US01462,ZCTA5 01462,71055,9.8,4.3,35.5
8600000US01463,ZCTA5 01463,77767,4.9,5.1,35.0
8600000US01464,ZCTA5 01464,66453,12.1,3.6,24.1
8600000US01467,ZCTA5 01467,184107,13.2,8.4,85.3
8600000US01468,ZCTA5 01468,70455,9.3,7.4,14.7
8600000US01469,ZCTA5 01469,81024,4.9,4.1,32.6
8600000US01473,ZCTA5 01473,87273,2.9,5.3,40.9
8600000US01474,ZCTA5 01474,95587,2.9,4.6,41.8
8600000US01475,ZCTA5 01475,59332,12.1,3.4,20.0
8600000US01501,ZCTA5 01501,73105,4.3,4.5,35.1
8600000US01503,ZCTA5 01503,88681,2.7,3.2,47.4
8600000US01504,ZCTA5 01504,72699,5.1,6.5,27.6
8600000US01505,ZCTA5 01505,102422,3.1,3.8,53.6
8600000US01506,ZCTA5 01506,63889,7.5,4.4,29.7
8600000US01507,ZCTA5 01507,91287,4.9,6.6,33.2
8600000US01510,ZCTA5 01510,64867,8.8,5.7,34.2
8600000US01515,ZCTA5 01515,71020,4.9,7.0,27.2
8600000US01516,ZCTA5 01516,84390,4.2,5.9,35.3
8600000US01518,ZCTA5 01518,48676,8.3,4.7,38.5
8600000US01519,ZCTA5 01519,101205,8.2,3.1,54.3
8600000US01520,ZCTA5 01520,98979,3.0,4.6,51.8
8600000US01521,ZCTA5 01521,64868,9.4,6.0,31.2
8600000US01522,ZCTA5 01522,94531,0.8,6.7,49.5
8600000US01523,ZCTA5 01523,89808,12.3,4.8,34.4
8600000US01524,ZCTA5 01524,65225,6.5,4.6,27.2
8600000US01525,ZCTA5 01525,47238,0.0,22.0,28.0
8600000US01527,ZCTA5 01527,71676,6.1,4.3,30.8
8600000US01529,ZCTA5 01529,88281,9.0,5.9,26.8
8600000US01531,ZCTA5 01531,81136,4.5,6.3,32.5
8600000US01532,ZCTA5 01532,107111,2.9,4.2,54.7
8600000US01534,ZCTA5 01534,82950,3.3,5.9,30.9
8600000US01535,ZCTA5 01535,58438,6.6,4.0,25.0
8600000US01536,ZCTA5 01536,72292,7.5,5.9,44.7
8600000US01537,ZCTA5 01537,75183,12.5,7.4,26.2
8600000US01540,ZCTA5 01540,67126,3.5,4.9,27.5
8600000US01541,ZCTA5 01541,114688,6.7,4.8,62.9
8600000US01542,ZCTA5 01542,76979,2.7,1.3,24.9
8600000US01543,ZCTA5 01543,91033,2.3,4.9,40.8
8600000US01545,ZCTA5 01545,97617,4.6,4.4,55.2
8600000US01550,ZCTA5 01550,42376,18.1,6.8,17.4
8600000US01560,ZCTA5 01560,78250,8.5,6.1,47.1
8600000US01561,ZCTA5 01561,19597,15.2,9.9,13.9
8600000US01562,ZCTA5 01562,60943,11.4,6.7,24.6
8600000US01564,ZCTA5 01564,90455,4.7,4.0,48.6
8600000US01566,ZCTA5 01566,93776,6.1,2.8,45.1
8600000US01568,ZCTA5 01568,110781,6.7,5.8,47.3
8600000US01569,ZCTA5 01569,88125,5.4,6.6,34.3
8600000US01570,ZCTA5 01570,48650,15.1,7.1,22.2
8600000US01571,ZCTA5 01571,68053,9.1,6.3,28.8
8600000US01581,ZCTA5 01581,100552,4.4,3.3,60.4
8600000US01583,ZCTA5 01583,73474,5.4,3.3,32.6
8600000US01585,ZCTA5 01585,60521,8.7,6.0,27.6
8600000US01588,ZCTA5 01588,66591,7.9,5.8,29.5
8600000US01590,ZCTA5 01590,111788,3.8,2.3,45.3
8600000US01602,ZCTA5 01602,62888,12.3,4.8,45.6
8600000US01603,ZCTA5 01603,46367,23.5,6.4,20.1
8600000US01604,ZCTA5 01604,47865,17.8,6.9,27.3
8600000US01605,ZCTA5 01605,36497,27.0,5.2,27.2
8600000US01606,ZCTA5 01606,66411,9.9,5.3,38.7
8600000US01607,ZCTA5 01607,42397,21.5,8.0,26.9
8600000US01608,ZCTA5 01608,21412,42.6,9.4,22.0
8600000US01609,ZCTA5 01609,41647,24.5,6.5,41.0
8600000US01610,ZCTA5 01610,31136,37.4,9.7,14.3
8600000US01611,ZCTA5 01611,64598,2.4,9.5,26.2
8600000US01612,ZCTA5 01612,102614,3.5,2.7,53.0
8600000US01701,ZCTA5 01701,88498,5.6,4.7,54.9
8600000US01702,ZCTA5 01702,52428,16.3,5.0,37.7
8600000US01718,ZCTA5 01718,135179,0.0,5.2,92.0
8600000US01719,ZCTA5 01719,103996,4.4,6.5,78.6
8600000US01720,ZCTA5 01720,119342,3.1,4.0,74.0
8600000US01721,ZCTA5 01721,102721,4.0,4.1,59.6
8600000US01730,ZCTA5 01730,114676,4.2,4.6,66.2
8600000US01731,ZCTA5 01731,79063,5.3,2.6,51.3
8600000US01740,ZCTA5 01740,144461,2.7,3.9,66.2
